/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 100, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
{'epoch': 6, 'batch': 30, 'loss': 0.07865692675113678}
{'epoch': 6, 'batch': 60, 'loss': 0.048912808299064636}
{'epoch': 6, 'batch': 90, 'loss': 0.33015283942222595}
{'epoch': 6, 'batch': 120, 'loss': 0.3042713701725006}
{'epoch': 6, 'batch': 150, 'loss': 0.019514314830303192}
{'epoch': 6, 'batch': 180, 'loss': 0.0402245968580246}
{'epoch': 6, 'batch': 210, 'loss': 1.2040234804153442}
{'epoch': 6, 'batch': 240, 'loss': 0.08838779479265213}
{'epoch': 6, 'batch': 270, 'loss': 0.04756065830588341}
{'epoch': 6, 'batch': 300, 'loss': 0.08355450630187988}
{'epoch': 6, 'batch': 330, 'loss': 0.027129437774419785}
{'epoch': 6, 'batch': 360, 'loss': 0.14960698783397675}
{'epoch': 6, 'batch': 390, 'loss': 0.3378902077674866}
{'epoch': 6, 'batch': 420, 'loss': 0.14140023291110992}
{'epoch': 6, 'batch': 450, 'loss': 0.11626969277858734}
{'epoch': 6, 'batch': 480, 'loss': 0.09095228463411331}
{'epoch': 6, 'batch': 510, 'loss': 0.055972665548324585}
{'epoch': 6, 'batch': 540, 'loss': 0.26760995388031006}
{'epoch': 6, 'batch': 570, 'loss': 0.24977487325668335}
{'epoch': 6, 'batch': 600, 'loss': 0.016932452097535133}
{'TEST!': 6, 'batch': 0, 'loss': 0.062310002744197845}
{'TEST!': 6, 'batch': 30, 'loss': 0.3875027894973755}
{'TEST!': 6, 'batch': 60, 'loss': 0.17166714370250702}
{'TEST!': 6, 'batch': 90, 'loss': 0.05239071324467659}
{'TEST!': 6, 'batch': 120, 'loss': 0.18608352541923523}
{'TEST!': 6, 'batch': 150, 'loss': 0.2041580229997635}
{'TEST!': 6, 'batch': 180, 'loss': 0.08459234237670898}
{'epoch': 7, 'batch': 0, 'loss': 0.06284099072217941}
